gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm(Company name),curcd,fyr,act (current assets(total Million),ao (Assets other),aqc (Cash flow for acquisitions),at (assets total M),capx (Capital expenditure M),ceq (ordinary equity),cstk (Common ordinary stock capital M),dltt (Long term debt total M),dvt (dividends total common+preferred+shared apital),ebit (M),ebitda (M),epspi (earnings per share including spl items dividends Dollars and cents ),gp (Gross profit/loss M),Icapt (Invested capital),intan (intngible assets),ni (net income),ppent (Property plant and eqipments),revt (revenue in M),txc (Total taxes in M) ,txfed (federal income tax current M),wcap (total current assets-total liability=Working capital),xopr (Operating expenses total),mkvalt (Market value (Total fiscal)
162906,20191130,2019,INDL,C,D,STD,INFO,IHS MARKIT LTD,USD,11,1307.8,115.9,136.5,16087.2,278.1,8415.8,4.8,4874.4,0,986.6,1559.7,1.26,2757.6,13305.3,14005.3,502.7,658.2,4414.6,292.2,52.1,-661.4,2854.9,28936.495
162906,20201130,2020,INDL,C,D,STD,INFO,IHS MARKIT LTD,USD,11,1233.3,125.5,4.7,16135.2,274.8,8529.4,4.8,4939.4,275.5,978.2,1569.8,2.19,2697.8,13482.6,13754.8,870.7,1021.6,4287.8,147.9,-14.1,-745.5,2718,39435.89
177884,20101231,2010,INDL,C,D,STD,CXO,CONCHO RESOURCES INC,USD,12,330.633,89.001,,5368.494,2133.982,2383.874,0.103,1668.521,0,468.432,727.36,2.21,790.195,4052.395,34.973,204.37,4913.787,972.576,17.719,14.678,-176.356,245.216,9013.3527
177884,20111231,2011,INDL,C,D,STD,CXO,CONCHO RESOURCES INC,USD,12,411.023,114.91,0,6849.576,1745.59,2980.739,0.104,2080.141,0,892.135,1329.212,5.34,1431.517,5060.88,33.425,548.137,6290.118,1739.967,24.162,21.48,-290.454,410.755,9721.875
177884,20121231,2012,INDL,C,D,STD,CXO,CONCHO RESOURCES INC,USD,12,458.882,107.055,,8589.437,2773.871,3466.196,0.105,3101.103,0,723.12,1314.83,4.18,1476.071,6567.299,30.076,431.689,7993.424,1819.814,9.222,7.066,-281.204,504.984,8425.1259
177884,20131231,2013,INDL,C,D,STD,CXO,CONCHO RESOURCES INC,USD,12,520.875,95.626,0,9591.164,1879.67,3757.949,0.105,3630.421,0,741.089,1569.502,2.39,1799.108,7388.37,28.615,250.871,8946.048,2319.919,15.81,12.504,-235.993,750.417,11350.26
177884,20141231,2014,INDL,C,D,STD,CXO,CONCHO RESOURCES INC,USD,12,1188.396,348.899,0,11799.963,2589.234,5280.788,0.113,3517.32,0,198.828,1402.966,4.89,1674.622,8798.108,27.154,538.175,10206.014,2660.147,21.618,16.621,-238.797,1257.181,11272.2488
177884,20151231,2015,INDL,C,D,STD,CXO,CONCHO RESOURCES INC,USD,12,1314.55,204.986,0,12641.876,2511.403,6942.551,0.129,3332.188,0,-318.749,946.636,0.54,1201.685,10274.739,25.693,65.9,10976.947,1803.573,1.749,0.127,718.13,856.937,11991.7547
177884,20161231,2016,INDL,C,D,STD,CXO,CONCHO RESOURCES INC,USD,12,546.494,74.967,,12119.326,2457.872,7622.693,0.146,2740.58,0,-1818.321,-584.15,-10.85,-340.961,10363.273,24.232,-1462.446,11302.433,1634.988,-11.749,-11.579,-206.692,2219.138,19367.4234
177884,20171231,2017,INDL,C,D,STD,CXO,CONCHO RESOURCES INC,USD,12,592,24,0,13732,2533,8915,0,2691,0,522,1703,6.44,1979,11606,26,956,13041,2586,-4,-6,-573,883,22341.7699
177884,20181231,2018,INDL,C,D,STD,CXO,CONCHO RESOURCES INC,USD,12,1409,329,,26294,2722,18768,0,4194,0,1337,2860,13.28,3201,22962,2243,2286,22313,4151,-2,0,53,1291,20584.417
177884,20191231,2019,INDL,C,D,STD,CXO,CONCHO RESOURCES INC,USD,12,1055,416,,24732,3240,17782,0,3974,101,21,2142,-3.55,2522,21756,1934,-705,21327,4592,0,0,-127,2450,17311.6257
185112,20101231,2010,INDL,C,D,STD,IPHI,INPHI CORP,USD,12,130.564,13.716,2.499,158.957,5.165,142.686,0.025,,0,11.939,13.579,1.08,55.395,142.686,7.471,26.131,7.206,83.193,-7.144,-6.158,116.887,69.614,504.0179
185112,20111231,2011,INDL,C,D,STD,IPHI,INPHI CORP,USD,12,140.085,17.102,0,172.628,5.197,158.404,0.028,0,0,2.018,5.203,0.07,54.577,158.404,5.875,1.931,9.566,79.297,3.974,2.811,129.395,74.094,333.4687
185112,20121231,2012,INDL,C,D,STD,IPHI,INPHI CORP,USD,12,144.397,5.909,0,170.074,8.383,152.965,0.029,0,0,-7.132,-2.224,-0.73,64.23,152.965,5.875,-20.691,13.893,92.006,3.719,3.76,131.31,94.23,275.2334
185112,20131231,2013,INDL,C,D,STD,IPHI,INPHI CORP,USD,12,146.097,5.289,0,182.342,16.578,159.393,0.03,0,0,-12.302,-4.794,-0.45,73.077,159.393,5.875,-13.178,22.46,102.664,1.915,1.816,129.013,107.458,390.1476
185112,20141231,2014,INDL,C,D,STD,IPHI,INPHI CORP,USD,12,140.499,7.535,35.308,278.71,21.171,239.174,0.037,0,0,-4.666,9.447,-0.69,115.016,239.174,90.178,-22.608,35.498,156.142,1.251,0.35,108.372,146.695,689.5073
185112,20151231,2015,INDL,C,D,STD,IPHI,INPHI CORP,USD,12,378.875,4.827,0,505.046,16.557,290.67,0.039,171.701,0,8.931,35.815,-0.35,182.289,462.371,75.443,-13.551,36.28,246.616,8.125,7.304,344.897,210.801,1064.2908
185112,20161231,2016,INDL,C,D,STD,IPHI,INPHI CORP,USD,12,499.52,4.464,294.444,990.595,22.348,462.524,0.041,398.49,0,28.733,58.846,2.45,210.099,861.014,432.14,99.456,44.471,266.277,0.951,0.938,433.25,207.431,1842.9399
185112,20171231,2017,INDL,C,D,STD,IPHI,INPHI CORP,USD,12,517.109,2.618,1.8,917.506,37.437,411.401,0.043,422.288,0,-9.785,68.07,-1.78,265.252,833.689,327.435,-74.904,60.344,348.201,1.252,0.096,457.062,280.131,1565.748
185112,20181231,2018,INDL,C,D,STD,IPHI,INPHI CORP,USD,12,511.28,4.651,0,889.873,31.713,366.694,0.044,447.825,0,-67.905,14.814,-2.19,219.444,814.519,284.949,-95.751,70.74,294.49,0.417,0,446.837,279.676,1424.02
185112,20191231,2019,INDL,C,D,STD,IPHI,INPHI CORP,USD,12,555.625,6.996,0,976.006,29.518,346.601,0.046,299.785,0,-47.51,44.454,-1.61,272.182,646.386,272.792,-72.911,113.139,365.635,0.059,0,263.848,321.181,3398.1842
185112,20201231,2020,INDL,C,D,STD,IPHI,INPHI CORP,USD,12,399.894,30.61,214.731,1008.236,74.823,353.71,0.053,405.689,,18.494,,-1.2,376.09,759.399,413.321,-59.744,164.411,682.954,,,209.377,664.46,8354.3891
264397,20101231,2010,INDL,C,D,STD,CATM,CARDTRONICS PLC,USD,12,54.959,10.563,0,455.315,48.069,42.391,0.004,251.757,0,69.61,127.805,0.98,171.686,296.011,233.328,40.959,156.465,532.078,1.598,0.015,-44.035,404.273,758.1441
264397,20111231,2011,INDL,C,D,STD,CATM,CARDTRONICS PLC,USD,12,94.43,33.365,167.568,712.801,64.418,111.588,0.004,368.632,0,83.003,148.879,1.6,204.461,481.777,377.475,70.233,191.331,624.576,1.688,-0.086,-45.2,475.697,1190.6129
264397,20121231,2012,INDL,C,D,STD,CATM,CARDTRONICS PLC,USD,12,115.749,33.432,20.961,768.892,89.579,147.467,0.005,353.352,0,95.626,178.837,0.97,244.362,502.156,383.473,43.591,236.238,780.449,1.315,0.503,-12.988,601.612,1059.7773
264397,20131231,2013,INDL,C,D,STD,CATM,CARDTRONICS PLC,USD,12,206.772,21.931,189.587,1056.203,71.562,248.911,0.005,489.225,0,109.966,205.782,0.52,289.869,736.339,556.534,23.816,270.966,876.486,33.485,26.766,-8.023,670.704,1928.1372
264397,20141231,2014,INDL,C,D,STD,CATM,CARDTRONICS PLC,USD,12,197.405,43.363,226.972,1255.79,108,290.146,0.005,612.662,0,125.913,237.303,0.83,350.773,899.197,679.227,37.14,335.795,1054.821,25.136,19.033,-53.517,817.518,1719.202
264397,20151231,2015,INDL,C,D,STD,CATM,CARDTRONICS PLC,USD,12,213.524,39.719,103.874,1327.003,138.262,369.774,0.005,575.399,0,153.034,276.863,1.5,417.364,945.192,698.272,67.08,375.488,1200.301,28.349,19.59,-64.116,923.438,1512.7021
264397,20161231,2016,INDL,C,D,STD,CATM,CARDTRONICS PLC,USD,12,269.537,49.649,22.669,1364.696,125.882,457.015,0.453,502.539,0,169.72,297.495,1.95,451.277,959.474,652.775,87.991,392.735,1265.364,,,-44.283,967.869,2473.4398
264397,20171231,2017,INDL,C,D,STD,CATM,CARDTRONICS PLC,USD,12,315.332,66.163,487.077,1862.716,144.14,390.472,0.457,917.721,0,154.34,334.242,-3.19,508.479,1308.114,983.319,-145.35,497.902,1507.599,,,-67.218,1173.357,846.2899
264397,20181231,2018,INDL,C,D,STD,CATM,CARDTRONICS PLC,USD,12,366.831,62.97,1.15,1787.344,107.205,376.869,0.461,818.485,0,97.86,276.97,0.08,447.46,1195.257,897.356,3.676,460.187,1345.243,,,-61.905,1068.273,1199.484
264397,20191231,2019,INDL,C,D,STD,CATM,CARDTRONICS PLC,USD,12,308.521,54.219,9.1,1763.958,124.906,380.432,0.447,809.006,0,107.015,286.952,1.06,464.426,1189.332,863.393,48.274,537.825,1349.405,,,-125.863,1062.453,1994.7834
